"Day","caudatum","aurelia"
2,4.751037795,3.773584906
3,8.529844313,6.603773585
4,7.637304123,19.81132075
5,48.79412894,33.96226415
6,92.75608007,73.58490566
7,105.87758,63.20754717
8,123.6791202,84.90566038
9,95.67712069,113.2075472
10,79.82728768,90.56603774
11,63.9789036,119.8113208
12,84.58122333,124.5283019
13,54.71445234,127.3584906
14,67.84029906,150.9433962
15,50.11844994,133.9622642
16,53.89146074,143.3962264
17,40.85110082,124.5283019
18,45.56301754,142.4528302
19,44.66468163,118.8679245
20,51.2457166,142.4528302
21,40.07012816,129.245283
22,21.41806669,142.4528302
23,19.59241631,135.8490566
24,34.58013663,139.6226415
